City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Makkah al Mukarramah,21.4267,39.8261,82.06,59.0,0,3.62,SA,1650922167
Sisimiut,66.9395,-53.6735,28.6,83.0,100,6.26,GL,1650922168
Campos Belos,-13.0367,-46.7717,76.84,46.0,9,2.98,BR,1650922169
Lompoc,34.6391,-120.4579,88.79,57.0,0,16.11,US,1650921942
Naze,28.3667,129.4833,72.52,91.0,34,16.02,JP,1650922020
Tezu,27.9167,96.1667,67.17,59.0,76,6.42,IN,1650922169
Orsha,54.5153,30.4053,45.21,92.0,68,5.1,BY,1650922169
Collie,-33.3667,116.15,56.19,82.0,100,7.85,AU,1650922170
Los Llanos de Aridane,28.6585,-17.9182,64.15,80.0,75,5.75,ES,1650922171
Geraldton,-28.7667,114.6,68.41,73.0,100,12.66,AU,1650922171
Yar-Sale,66.8333,70.8333,23.23,95.0,80,6.73,RU,1650922172
São Sebastião,-23.76,-45.4097,73.13,89.0,51,10.2,BR,1650922172
Alappuzha,9.49,76.3264,82.76,81.0,79,4.94,IN,1650922173
La Asuncion,11.0333,-63.8628,92.93,52.0,100,14.97,VE,1650922173
Tura,25.5198,90.2201,72.48,83.0,0,4.74,IN,1650922173
Buala,-8.145,159.5921,82.2,78.0,76,4.34,SB,1650922174
Vila Franca do Campo,37.7167,-25.4333,62.2,78.0,13,8.32,PT,1650922174
Broken Hill,-31.95,141.4333,56.91,94.0,100,14.97,AU,1650922009
Kieta,-6.2167,155.6333,80.53,80.0,58,0.63,PG,1650922175
Forsytheganj,52.6333,29.7333,51.87,90.0,84,6.33,BY,1650922175
Sitka,57.0531,-135.33,48.09,71.0,75,8.05,US,1650922176
George Town,5.4112,100.3354,80.53,92.0,20,2.3,MY,1650921888
Bambous Virieux,-20.3428,57.7575,73.65,88.0,40,12.66,MU,1650922015
Shenjiamen,29.9576,122.298,62.69,99.0,100,16.22,CN,1650922176
Zhezkazgan,47.8043,67.7144,49.46,46.0,5,6.06,KZ,1650922177
Petropavlovsk-Kamchatskiy,53.0452,158.6483,36.19,60.0,75,4.47,RU,1650922177
Lavrentiya,65.5833,-171.0,24.51,81.0,98,7.85,RU,1650922178
Mayor Pablo Lagerenza,-19.9309,-60.7718,98.29,28.0,34,14.65,PY,1650922178
Hobart,-42.8794,147.3294,49.26,93.0,40,3.87,AU,1650921991
Omboué,-1.5746,9.2618,78.37,90.0,100,5.64,GA,1650922179
Hamilton,39.1834,-84.5333,64.09,87.0,75,13.8,US,1650922179
Papenburg,53.0667,7.4,47.97,84.0,90,4.0,DE,1650922180
Bethel,41.3712,-73.414,61.66,35.0,100,6.91,US,1650921889
Bathsheba,13.2167,-59.5167,75.81,100.0,75,12.66,BB,1650922180
Hasaki,35.7333,140.8333,64.8,88.0,100,7.34,JP,1650921871
Tabuk,17.4189,121.4443,73.22,90.0,59,4.0,PH,1650922181
Saint-Pierre,-21.3393,55.4781,74.88,77.0,75,10.36,RE,1650922181
Ndélé,8.4109,20.6473,77.76,65.0,100,4.47,CF,1650922025
Santa Lucía,27.9117,-15.5407,61.92,64.0,40,6.91,ES,1650922150
Makakilo City,21.3469,-158.0858,82.72,58.0,75,18.41,US,1650922183
Vardø,70.3705,31.1107,32.52,61.0,90,15.52,NO,1650922183
Glace Bay,46.1969,-59.957,49.57,85.0,75,8.05,CA,1650922184
Lázaro Cárdenas,17.9583,-102.2,83.59,49.0,73,11.45,MX,1650922185
Diapaga,12.0708,1.7889,93.02,8.0,100,3.2,BF,1650922185
Port Hedland,-20.3167,118.5667,69.85,94.0,48,0.0,AU,1650921926
Bubaque,11.2833,-15.8333,77.72,78.0,6,16.96,GW,1650922186
Loukhi,66.0764,33.0381,33.94,97.0,100,2.84,RU,1650922186
Kariba,-16.5167,28.8,70.47,73.0,46,4.76,ZW,1650922187
Touros,-5.1989,-35.4608,79.11,82.0,21,11.54,BR,1650922187
Port Elizabeth,-33.918,25.5701,58.32,87.0,0,12.66,ZA,1650922188
Raudeberg,61.9875,5.1352,45.27,84.0,15,25.1,NO,1650922189
Ribeira Grande,38.5167,-28.7,58.98,67.0,82,9.57,PT,1650922189
Saint Paul Harbor,57.79,-152.4072,45.91,57.0,75,6.91,US,1650922010
Raja,8.4596,25.678,78.03,64.0,74,3.87,SS,1650922190
Laas,46.6166,10.7002,49.08,99.0,100,1.79,IT,1650922190
Saint-Augustin,51.226,-58.6502,38.39,98.0,99,7.47,CA,1650922190
Qaanaaq,77.484,-69.3632,10.69,71.0,61,5.44,GL,1650922191
Mae Hong Son,19.3003,97.9685,76.86,69.0,2,0.67,TH,1650922191
Kruisfontein,-34.0033,24.7314,53.89,85.0,1,7.23,ZA,1650921923
Fort-Shevchenko,44.5086,50.263,61.79,46.0,0,6.87,KZ,1650922192
Kamiiso,41.8167,140.65,53.67,79.0,100,1.32,JP,1650922192
Gambissara,13.2382,-14.3108,94.51,15.0,5,6.49,SN,1650922193
Hithadhoo,-0.6,73.0833,83.52,74.0,80,6.89,MV,1650922013
Avera,33.194,-82.5271,85.55,49.0,51,8.55,US,1650922194
Novyy Buyan,53.6861,50.0469,48.36,72.0,93,6.69,RU,1650922194
Grand-Santi,4.25,-54.3833,77.5,97.0,84,3.51,GF,1650922195
Venado Tuerto,-33.7456,-61.9688,73.76,39.0,0,10.67,AR,1650921888
Dingle,10.9995,122.6711,77.74,88.0,65,6.89,PH,1650922195
Esmeralda,21.8525,-78.1169,82.81,55.0,30,14.63,CU,1650922196
Parkersburg,39.2667,-81.5615,84.52,39.0,20,6.91,US,1650922196
Kavaratti,10.5669,72.642,84.24,76.0,34,5.86,IN,1650922196
Benguela,-12.5763,13.4055,74.44,87.0,18,2.82,AO,1650922197
Leirvik,59.7798,5.5005,47.62,85.0,17,2.28,NO,1650922197
Mahibadhoo,3.7833,72.9667,84.04,67.0,37,2.46,MV,1650922198
Hong Kong,22.2855,114.1577,81.32,86.0,10,4.0,HK,1650921988
Qaqortoq,60.7167,-46.0333,37.2,84.0,88,3.0,GL,1650922199
Kaitangata,-46.2817,169.8464,50.4,67.0,59,14.07,NZ,1650922199
Mercedes,-34.6515,-59.4307,71.85,65.0,1,7.2,AR,1650922161
Kinablangan,7.6947,126.5503,78.84,85.0,100,2.93,PH,1650922200
Labuan,5.2767,115.2417,77.36,100.0,20,1.14,MY,1650922200
Dosso,13.049,3.1937,89.19,9.0,96,5.97,NE,1650922201
Saint-Philippe,-21.3585,55.7679,74.79,79.0,90,15.28,RE,1650922002
La Ronge,55.1001,-105.2842,37.65,25.0,0,14.97,CA,1650922202
Bumba,2.1833,22.4667,72.61,91.0,75,1.36,CD,1650922202
Ponta do Sol,32.6667,-17.1,62.01,81.0,39,10.04,PT,1650922203
Maumere,-8.6199,122.2111,78.26,75.0,100,3.38,ID,1650922204
Lorengau,-2.0226,147.2712,82.69,76.0,36,7.25,PG,1650922204
Arrondissement de Rennes,48.1667,-1.6667,51.84,66.0,0,8.05,FR,1650921985
Klaksvík,62.2266,-6.589,36.52,77.0,100,13.76,FO,1650922181
Okha,53.5739,142.9478,29.43,80.0,6,10.18,RU,1650922205
Ostrovnoy,68.0531,39.5131,34.45,98.0,100,10.54,RU,1650922005
Coyhaique,-45.5752,-72.0662,45.21,93.0,100,4.61,CL,1650922014
Chumikan,54.7183,135.315,26.82,82.0,10,1.97,RU,1650922206
Cedro,-6.6067,-39.0622,78.94,58.0,98,2.44,BR,1650922207
Shakawe,-18.3667,21.85,70.03,51.0,70,3.42,BW,1650922208
Asău,46.4333,26.4,51.28,83.0,3,6.8,RO,1650922208
Meulaboh,4.1363,96.1285,75.49,92.0,100,2.48,ID,1650922209
Faya,18.3851,42.4509,64.51,55.0,0,4.38,SA,1650922209
Pevek,69.7008,170.3133,17.17,78.0,100,1.79,RU,1650921992
Arrondissement de Blois,47.5833,1.3333,49.06,76.0,75,9.78,FR,1650922211
Chui,-33.6971,-53.4616,66.06,97.0,100,7.14,UY,1650922211
Ilulissat,69.2167,-51.1,26.62,93.0,100,3.44,GL,1650922212
Marfino,55.7028,37.3822,51.94,83.0,75,6.71,RU,1650922213
Ystad,55.4297,13.8204,39.36,74.0,6,9.24,SE,1650922213
Kostomuksha,64.571,30.5767,31.5,94.0,99,2.8,RU,1650922214
Paphos,34.7667,32.4167,58.78,88.0,0,4.61,CY,1650922215
Nome,64.5011,-165.4064,35.17,86.0,100,3.44,US,1650922215
Lata,40.1629,-8.3327,52.92,79.0,79,1.88,PT,1650922216
Xining,36.6167,101.7667,47.98,60.0,12,2.68,CN,1650922216
Kutum,14.2,24.6667,79.72,10.0,100,5.41,SD,1650922217
Tiksi,71.6872,128.8694,-0.56,100.0,98,2.08,RU,1650922218
Mitzic,0.7821,11.549,71.01,95.0,100,2.35,GA,1650922218
Colares,38.7992,-9.4469,61.32,75.0,98,14.0,PT,1650922219
Chokurdakh,70.6333,147.9167,8.19,92.0,87,4.52,RU,1650922209
Sackville,45.9188,-64.3846,56.86,75.0,44,7.29,CA,1650922220
Aswān,24.0934,32.907,87.1,11.0,0,4.61,EG,1650922220
Naples,40.8333,14.25,57.81,87.0,0,1.14,IT,1650922213
Codrington,-38.2667,141.9667,56.68,70.0,92,8.95,AU,1650922221
Havelock,34.8791,-76.9013,82.36,69.0,0,11.01,US,1650922221
Sabha,27.0377,14.4283,78.44,18.0,100,19.51,LY,1650922222
Červená Voda,50.0403,16.7427,43.39,91.0,100,3.49,CZ,1650922222
Lüderitz,-26.6481,15.1594,60.06,47.0,0,14.32,NA,1650922223
Tai’an,36.1853,117.12,60.57,90.0,73,2.46,CN,1650922223
Upington,-28.4478,21.2561,53.98,54.0,0,1.14,ZA,1650922224
Patacamaya,-17.2333,-67.9167,56.59,31.0,40,2.95,BO,1650922225
Fortuna,40.5982,-124.1573,57.97,85.0,75,14.97,US,1650922225
Batagay,67.6333,134.6333,13.21,94.0,96,1.92,RU,1650922226
Leshukonskoye,64.8989,45.7622,31.87,96.0,100,4.41,RU,1650922227
Nemuro,43.3236,145.575,40.42,88.0,35,6.06,JP,1650922227
Iroquois Falls,48.7669,-80.6831,44.96,87.0,100,6.31,CA,1650922227
Lucapa,-8.4192,20.7447,67.48,92.0,100,3.15,AO,1650922228
Beipiao,41.7919,120.7792,58.86,18.0,42,19.28,CN,1650922228
Kysyl-Syr,63.8986,122.7617,20.07,92.0,100,4.25,RU,1650922229
Hobyo,5.3505,48.5268,82.85,73.0,54,8.99,SO,1650922229
Big Spring,32.2504,-101.4787,68.45,33.0,40,20.71,US,1650922230
Lebu,-37.6167,-73.65,55.31,76.0,100,23.4,CL,1650921711
Flinders,-34.5833,150.8552,61.18,94.0,100,7.0,AU,1650922230
Kalmunai,7.4167,81.8167,79.97,79.0,68,4.72,LK,1650922231
Saint George,37.1041,-113.5841,78.44,11.0,0,4.61,US,1650921919
Chicama,-7.8447,-79.1469,63.14,68.0,100,6.93,PE,1650922232
Leh,34.1667,77.5833,37.49,72.0,73,5.21,IN,1650921962
Urubichá,-15.3833,-62.95,81.41,66.0,100,2.53,BO,1650922232
Vila,42.0304,-8.1588,49.08,75.0,63,3.36,PT,1650922030
Cidreira,-30.1811,-50.2056,72.57,82.0,91,12.66,BR,1650922233
Paamiut,61.994,-49.6678,30.4,89.0,100,12.1,GL,1650922178
Samsun Province,41.25,36.3333,56.98,79.0,0,2.3,TR,1650922234
Poum,-20.2333,164.0167,75.09,65.0,100,11.61,NC,1650922234
Torres,-29.3353,-49.7269,72.0,79.0,70,8.57,BR,1650922235
Sal Rei,16.1833,-22.9167,71.76,81.0,5,17.13,CV,1650922235
Stornoway,58.2093,-6.3865,46.36,86.0,100,13.8,GB,1650922236
Vallenar,-28.5708,-70.7581,72.12,40.0,0,5.39,CL,1650922230
Westport,41.1415,-73.3579,60.75,40.0,100,9.22,US,1650922066
Dikson,73.5069,80.5464,5.52,99.0,100,2.35,RU,1650922014
Norman Wells,65.282,-126.8329,44.64,57.0,75,5.75,CA,1650922237
Sawākin,19.1059,37.3321,81.3,81.0,0,6.13,SD,1650922237
Severo-Kuril'sk,50.6789,156.125,32.13,85.0,100,20.04,RU,1650922009
Souillac,-20.5167,57.5167,73.78,88.0,40,12.66,MU,1650922238
Gamba,-2.65,10.0,77.5,91.0,100,5.41,GA,1650922238
Pochutla,15.7432,-96.4661,91.22,44.0,4,8.97,MX,1650922239
Port Moresby,-9.4431,147.1797,76.42,100.0,20,5.75,PG,1650922239
Ahipara,-35.1667,173.1667,66.2,63.0,25,6.42,NZ,1650922240
Sidi Ali,36.0998,0.4206,58.48,66.0,5,3.71,DZ,1650922241
Champerico,14.3,-91.9167,88.34,62.0,5,11.61,GT,1650922241
Berlevåg,70.8578,29.0864,30.15,93.0,100,21.85,NO,1650922242
Kuril'sk,45.2333,147.8833,41.2,53.0,61,0.72,RU,1650922242
Bollnäs,61.3482,16.3946,39.33,67.0,7,8.59,SE,1650922243
Bayir,37.2687,28.2167,48.72,65.0,27,2.91,TR,1650922243
Pathein,16.7833,94.7333,78.66,85.0,9,5.7,MM,1650922244
São José de Ribamar,-2.5619,-44.0542,82.78,86.0,94,10.76,BR,1650922244
Słupsk,54.4641,17.0287,38.3,92.0,56,5.64,PL,1650922061
Mattru,7.6244,-11.8332,79.3,84.0,100,4.81,SL,1650922245
Balakhta,55.38,91.6,29.97,74.0,85,1.43,RU,1650922245
Buin,-33.7333,-70.75,71.92,62.0,46,6.08,CL,1650922245
Polovinnoye,54.7914,65.9864,46.27,85.0,79,5.95,RU,1650922246
Hambantota,6.1241,81.1185,77.34,100.0,20,0.0,LK,1650922246
Belleville,44.1788,-77.3705,69.73,60.0,75,5.75,CA,1650922116
Rocha,-34.4833,-54.3333,66.22,97.0,100,3.29,UY,1650922247
Camacha,33.0833,-16.3333,60.22,77.0,40,10.36,PT,1650922247
Yerbogachën,61.2767,108.0108,24.78,99.0,96,3.22,RU,1650922248
Bantry,51.6833,-9.45,50.79,93.0,41,7.7,IE,1650922248
Boyolangu,-8.1181,111.8935,75.4,91.0,93,3.47,ID,1650922248
Soria,41.6667,-2.6667,49.1,90.0,39,2.77,ES,1650922249
Seoul,37.5683,126.9778,62.17,88.0,75,3.44,KR,1650922241
Mana,5.6592,-53.7767,79.05,85.0,97,9.69,GF,1650922250
Kamenka,51.3223,42.7678,55.15,76.0,100,8.43,RU,1650922250
Chivay,-15.6383,-71.6011,56.16,36.0,78,8.14,PE,1650922251
Porto-Novo,6.4965,2.6036,84.02,83.0,10,7.14,BJ,1650922252
Inta,66.0317,60.1659,31.05,86.0,97,8.55,RU,1650922252
Drumheller,51.4617,-112.7101,69.13,18.0,100,9.22,CA,1650922174
Butaritari,3.0707,172.7902,79.81,83.0,35,13.56,KI,1650921880
Hofn,64.2539,-15.2082,40.28,93.0,100,9.46,IS,1650922029
San Patricio,28.017,-97.5169,86.09,66.0,96,19.53,US,1650922253
Sola,-13.8833,167.55,80.1,78.0,83,14.65,VU,1650922074
Caibarién,22.5206,-79.4669,83.52,73.0,3,20.8,CU,1650922254
Shingū,33.7333,135.9833,64.92,95.0,100,0.98,JP,1650922255
Saurimo,-9.6608,20.3916,68.54,84.0,91,4.36,AO,1650922256
Mamakan,57.8161,114.0028,26.06,89.0,100,4.27,RU,1650922257
Tuatapere,-46.1333,167.6833,48.47,72.0,34,5.14,NZ,1650922258
Margate,51.3813,1.3862,49.3,84.0,78,8.01,GB,1650922231
Miami,25.7743,-80.1937,83.01,66.0,40,13.0,US,1650921519
Portales,34.1862,-103.3344,64.09,30.0,36,5.99,US,1650922139
Mocuba,-16.8392,36.9856,70.18,98.0,19,2.57,MZ,1650922259
Pātūr,20.45,76.9333,88.86,19.0,1,8.37,IN,1650922260
Mount Isa,-20.7333,139.5,69.57,100.0,100,1.14,AU,1650922260
Tessalit,20.1986,1.0114,79.93,15.0,0,9.15,ML,1650922261
Inírida,3.8653,-67.9239,82.26,83.0,100,3.15,CO,1650922176
Brownwood,31.7093,-98.9912,66.2,48.0,0,12.66,US,1650922262
Pangnirtung,66.1451,-65.7125,12.2,85.0,100,25.32,CA,1650922262
Pacific Grove,36.6177,-121.9166,74.25,75.0,0,12.66,US,1650922013
Siguatepeque,14.6,-87.8333,73.35,66.0,82,1.32,HN,1650922264
Upernavik,72.7868,-56.1549,15.69,89.0,26,3.89,GL,1650922265
Diego de Almagro,-26.3667,-70.05,68.31,40.0,2,7.45,CL,1650922265
Tuensang,26.2833,94.8333,62.82,78.0,0,4.05,IN,1650922266
Port Hardy,50.6996,-127.4199,42.98,87.0,75,9.22,CA,1650922267
San-Pédro,4.7485,-6.6363,79.32,83.0,59,4.09,CI,1650922267
São Filipe,14.8961,-24.4956,75.96,63.0,4,7.92,CV,1650922268
Vostok,46.4856,135.8833,43.43,67.0,99,5.91,RU,1650922268
Cabo San Lucas,22.8909,-109.9124,84.61,60.0,0,10.36,MX,1650922017
Sinnamary,5.3833,-52.95,80.08,82.0,100,9.82,GF,1650922017
Aljezur,37.3191,-8.8033,55.17,87.0,15,2.33,PT,1650922269
Qeshm,26.9581,56.2719,76.89,68.0,10,3.96,IR,1650922270
Baykit,61.67,96.37,23.2,93.0,100,4.76,RU,1650922270
Saldanha,-33.0117,17.9442,53.65,78.0,0,13.18,ZA,1650922271
Leningradskiy,69.3833,178.4167,15.75,91.0,63,9.71,RU,1650922271
Talnakh,69.4865,88.3972,1.2,98.0,100,5.06,RU,1650922007
Monforte de Lemos,42.5216,-7.5142,58.57,91.0,94,0.98,ES,1650922272
Sligo,54.2697,-8.4694,46.69,83.0,79,5.75,IE,1650922272
Winneba,5.3511,-0.6231,80.31,87.0,7,6.44,GH,1650922272
Tokur,53.1333,132.9,22.82,76.0,90,3.65,RU,1650922273
Sanguéya,10.7,-14.3667,76.87,77.0,24,3.53,GN,1650922273
Lagoa,39.05,-27.9833,57.96,72.0,60,10.92,PT,1650922274
Hua Hin,12.5707,99.9588,80.91,78.0,28,6.26,TH,1650922275
Coahuayana Viejo,18.7333,-103.6833,86.13,44.0,16,7.76,MX,1650922275
Jieshi,22.8134,115.8257,76.37,90.0,2,4.81,CN,1650922275
Mayumba,-3.432,10.6554,77.34,92.0,100,5.97,GA,1650922276
Bo Rai,12.5728,102.5371,82.72,95.0,96,1.43,TH,1650922277
Sechura,-5.5569,-80.8222,76.73,62.0,44,16.31,PE,1650922278
Wattegama,6.7989,81.4808,75.15,93.0,93,1.79,LK,1650922278
Pierre,44.3683,-100.351,52.86,35.0,0,14.97,US,1650922088
Karratha,-20.7377,116.8463,74.53,70.0,79,7.25,AU,1650922280
Sioux Lookout,50.1001,-91.917,21.27,73.0,100,11.5,CA,1650922093
Jacareacanga,-6.2222,-57.7528,76.12,94.0,86,2.28,BR,1650922281
Brownsville,25.9018,-97.4975,90.09,66.0,75,17.27,US,1650922210
Zilair,52.2332,57.4392,44.26,87.0,99,2.73,RU,1650922282
Bakchar,57.0186,82.0711,32.65,85.0,82,5.64,RU,1650922282
Coquimbo,-29.9533,-71.3436,56.93,100.0,100,9.22,CL,1650922282
Kailua,21.4022,-157.7394,84.18,71.0,100,13.8,US,1650921905
Alihe,50.5667,123.7167,37.71,45.0,100,14.0,CN,1650922283
Anadyr,64.75,177.4833,27.1,68.0,0,22.37,RU,1650922073
Khatanga,71.9667,102.5,-1.98,100.0,100,4.83,RU,1650922285
Poronaysk,49.2167,143.1167,31.41,67.0,89,0.4,RU,1650922286
Linxia Chengguanzhen,35.6003,103.2064,53.46,46.0,100,3.89,CN,1650922286
Altar,30.7,-111.8167,91.36,6.0,0,7.85,MX,1650922286
Rundu,-17.9333,19.7667,65.21,42.0,0,4.47,NA,1650922287
